First name,Last Name,School,Category,PhD,Provided Keywords,Abstract 1,Abstract 2,Abstract 3,Random,Skip
Lorien,Stice-Lawrence,USC,Accounting,No,textual analysis; alternative data; machine learning,"We use supervised Latent Dirichlet Allocation (sLDA) to measure differences in the content of the Chinese and English translations of the annual reports of Chinese firms. We find systematic differences in content across languages that are not the mechanical effects of translation and that vary predictably with legal requirements for translation, firm size, and incentives to prioritize different stakeholders. We demonstrate that translation differences exacerbate information asymmetries between Chinese-speaking and English-speaking investors on average, as reflected in lower liquidity in the period after reports are released, especially when the information environment is poor. Firms with larger translation differences are more likely to receive government subsidies and raise larger amounts of equity capital from foreign investors, consistent with translation differences constituting part of firms’ strategy to optimize interactions with stakeholders who speak different languages. Our results highlight the impact of language barriers on cross-country business activities, especially in the context of China, which is growing in prominence as a target for foreign capital","I use internet downloads of regulatory filings by Securities and Exchange Commission (SEC) employees as a novel measure of ex ante SEC monitoring which includes early stage reviews to explore drivers of the SEC’s attention. In addition to responding to cues from the stock market and business media, SEC employees are subject to a variety of institutional and behavioral frictions. SEC employees engage in less monitoring in times of internal reorganization and are less likely to follow up on leads for firms that are assigned to different regional or industry offices, even when those offices are located within the same building. Further, firms with names falling later in the alphabet are less likely to be monitored, indicating that SEC employees use simple heuristics when prioritizing targets. My evidence suggests such frictions have real effects on firm compliance by failing to head off financial reporting problems before they become more serious.","We use novel satellite data that track the number of cars in the parking lots of 92,668 stores for 71 publicly listed U.S. retailers to study the local information advantage of institutional investors. We establish car counts as a timely measure of store‐level performance and find that institutional investors adjust their holdings in response to the performance of local stores, and that these trades are profitable on average. These results suggest that local investors have an advantage when processing information about nearby operations. However, some institutional investors do not adjust for the quality of their local information and continue to rely on local signals even when they are poor predictors of firm performance and returns. This overreliance on poor local information is reduced for institutional investors with greater industry expertise and those with greater incentives to maximize short‐term trading profits.",,
James,Choi,Yale University,Finance,No,"Household finance, behavioral finance","Many Americans fail to get life-saving vaccines each year, and the availability of a vaccine for COVID-19 makes the challenge of encouraging vaccination more urgent than ever. We present a large field experiment (N = 47,306) testing 19 nudges delivered to patients via text message and designed to boost adoption of the influenza vaccine. Our findings suggest that text messages sent prior to a primary care visit can boost vaccination rates by an average of 5%. Overall, interventions performed better when they were 1) framed as reminders to get flu shots that were already reserved for the patient and 2) congruent with the sort of communications patients expected to receive from their healthcare provider (i.e., not surprising, casual, or interactive). The best-performing intervention in our study reminded patients twice to get their flu shot at their upcoming doctor’s appointment and indicated it was reserved for them. This successful script could be used as a template for campaigns to encourage the adoption of life-saving vaccines, including against COVID-19.","Does automatic enrollment into a retirement plan increase financial distress due to increased borrowing outside the plan? We study a natural experiment created when the U.S. Army began automatically enrolling newly hired civilian employees into the Thrift Savings Plan. Four years after hire, automatic enrollmentincreases cumulative contributions to the plan by 4.1% of annual salary, but we find little evidence ofincreased financial distress. Automatic enrollment causes no significant change in credit scores, debt balances excluding auto debt and first mortgages, or adverse credit outcomes, with the possible exception of increasedfirst‐mortgage balances in foreclosure.","We survey 2484 U.S. individuals with at least $1 million of investable assets about how well leading academic theories describe their financial beliefs and personal investment decisions. The wealthy's beliefs about financial markets and the economy are surprisingly similar to those of the average U.S. household, but the wealthy are less driven by discomfort with the market, financial constraints, and labor income considerations. Portfolio equity share is most affected by professional advice, time until retirement, personal experiences, rare disaster risk, and health risk. Concentrated equity holding is most often motivated by belief that the stock has superior risk-adjusted returns. Beliefs about how expected returns vary with stock characteristics frequently differ from historical relationships, and more risk is not always associated with higher expected returns. Active equity fund investment is most motivated by professional advice and the expectation of higher average returns. Berk and Green (2004) rationalize return chasing in the absence of fund performance persistence by positing that past returns reveal managerial skill but there are diminishing returns to scale in active management. Forty-two percent of respondents agree with the first assumption, 33% with the second, and 19% with both.",,
Joon Sang,Yoon,USC,Accounting,Yes,"information acquisition, disclosure, real effects, social movements",,,,yes,
Zihan,Lin,Stanford University,,Yes,"Institutional finance, Asset pricing, Demand-based asset pricing, Mutual funds.","We show, using machine learning, that fund characteristics can consistently differentiate high from low-performing mutual funds, as well as identify funds with net-of-fees abnormal returns. Fund momentum and fund flow are the most important predictors of future risk-adjusted fund performance, while characteristics of the stocks that funds hold are not predictive. Returns of predictive long-short portfolios are higher following a period of high sentiment or a good state of the macro-economy. Our estimation with neural networks enables us to uncover novel and substantial interaction effects between sentiment and both fund flow and fund momentum.","Using order flow imbalance to estimate price impact, we find that the price elasticity to demand is higher at more aggregate levels. That is, pure idiosyncratic demand (e.g. buying a stock and hedg- ing out all common return components) commands a smaller price elasticity of approximately two, and the parameter increases monotonically to around five for less diversifiable size-book/market style level demand. The results are consistent with liquidity providers being more reluctant to trade against price dislocations at more aggregate levels, possibly due to risk aversion or portfolio constraints, and inconsistent with information-based mechanisms of price impact. Together with the fact that there are large order flow imbalances at more aggregate levels, our results suggest that investor demand could be more important for driving price fluctuations at more aggregate levels.",,,
Travis,Dyer,Brigham Young University,Accounting,No,"Disclosure, information acquisition, quantitative investing, mutual funds, identity, behavioral biases, comovement.","We examine the effect of news media consolidation on local business news dissemination and its consequences for local investors and capital markets. We use acquisitions of television stations by Sinclair Inc. as plausibly exogenous shocks to local news coverage since Sinclair is alleged to reduce local news budgets and homogenize news coverage. Using large-scale television transcripts data, we find that coverage of local firms drops substantially following Sinclair acquisitions. Further, we document that investor attention, trading, portfolio holdings, and stock return synchronicity all become less locally concentrated for firms in treated geographic areas, and that the informational advantage of local analysts decreases and bid-ask spreads increase. The results are pronounced for small firms, for stations with higher ex-ante viewership, and for stations with greater decreases in local coverage. In combination, these results provide insight into the consequences of media consolidation for local business coverage, investors, and capital markets.","Existing research often assumes that firms’ financial reporting choices influence their return comovement with other firms. We examine the validity of that assumption. First, we provide initial evidence suggesting that similarity in two firms’ disclosures not only predicts, but influences, future return comovement between those two firms. Second, we show that this predictive ability aggregates to the market level; disclosure similarity can be used to estimate more accurate forward-looking market betas. Taken together, these two results imply that managers can influence their firms’ betas by altering their firms’ disclosures–a prominent assumption in existing research, but one with little empirical support until now.","I examine the demand for public information by local and nonlocal investors. Using novel data on institutional investors' requests for financial information from the SEC, I document that investors acquire approximately 20% more financial information for their local investments. This pattern holds after controlling for investors’ 13(f) portfolio holdings. I further demonstrate that this pattern is concentrated in stocks eliciting behavioral biases as well as among investors with strong company relationships. Consistent with public information acquisition being more beneficial to local investors, I find that local investors exhibit both enhanced timeliness in acquiring public information and superior portfolio trading decisions when acquiring public information (on the order of 0.5% per quarter). In sum, these results provide evidence that investors demand more, and benefit more from, public information on local investments.",,
Jonas,Heese,Harvard University,Accounting,No,(social) media monitoring; corporate misconduct,"We examine whether the local press is an effective monitor of corporate misconduct. Specifically, we study the effects of local newspaper closures on violations by local facilities of publicly listed firms. After a local newspaper closure, local facilities increase violations by 1.1% and penalties by 15.2%, indicating that the closures reduce firm monitoring by the press. This effect is not driven by the underlying economic conditions, the underlying local fraud environment, or the underlying firm conditions. Taken together, our findings indicate that local newspapers are an important monitor of firms’ misconduct.","I study whether industry employment of active regulators weakens oversight. To examine this question, I exploit that the Financial Reporting Enforcement Panel (FREP), the German capital-market regulator responsible for enforcing public firms’ compliance with accounting standards, allows its senior regulators to serve on boards of public firms during their FREP tenure. I find that firms are less likely to face enforcement actions after they appoint active regulators to their board. After such an appointment, firms are more likely to receive a qualified audit opinion, more likely to have an above-normal risk of accounting manipulation, as measured by an F-score greater than one, and exhibit higher income-increasing abnormal accruals. These findings suggest that directorships of active regulators can result in conflicts of interest that weaken oversight.","We examine drivers and consequences of U.S. Department of Justice (DOJ) oversight of whistleblower cases of corporate fraud against the government. We find that the DOJ is more likely to intervene in and conduct longer investigations of cases that have a higher chance of victory and yield greater monetary proceeds, indicating that DOJ enforcement is influenced by its performance measures. DOJ intervention also affects the firm- and aggregate-level fraud environment. Firms subject to DOJ intervention improve their employee relations, internal controls, and board independence, and experience lower future whistleblowing risk. Whistleblowers avoid courts and agencies with low DOJ intervention rates. In contrast, we do not find that cases pursued by whistleblowers alone affect firms' or whistleblowers' behavior, suggesting that public enforcement through DOJ intervention has a greater deterrent effect on fraud than private enforcement by whistleblowers acting alone.",,
Henry,Friedman,UCLA,Accounting,No,"Financial reporting, retail investors, real effects, machine learning","This paper develops a multi-firm equilibrium model of information acquisition based on differences in firms’ characteristics. It is shown that higher market-level uncertainty attracts investor attention to firm-level earnings announcements. Increased investor attention magnifies the earnings response coefficients of all announcing firms. However, reactions to increased attention differ by firm characteristics (eg, firms with higher systematic risk attract more investor attention and their prices react more to earnings announcements). In the model, heightened investor attention caused by high uncertainty implies a steeper CAPM relation. The implications of the model for the cross section of firms are tested using firm-level attention measures and stock returns around earnings announcements and using CAPM portfolio tests on high-versus low-uncertainty days","We provide a theoretical framework for reporting of firms' environmental and social impact (ESI). In our model the characteristics of a ESI report impact managerial efforts related to ESI, cash flows, stock prices, and greenwashing. In particular, we describe the implications of ESI report congruity, whether the report captures ESI inputs or outcomes, and the manager's tradeoffs regarding ESI efforts and reporting bias. Although stock price incentives tend to encourage ESI efforts and greenwashing simultaneously, ESI reports that capture ESI effects on cash flows tend to have a stronger price reactions than ESI reports that capture effects on ESI per se. ESI reports aligned with investors' aggregate preferences provide stronger incentives and lead to more positive outcomes than ESI reports that focus on either ESI or cash flow effects individually.","This paper uses holdings and outage data from Robinhood to examine how retail investors affect the pricing of public earnings information. We find that retail trader activity is associated with prices that are more responsive to earnings surprises, and earnings announcements affected by seemingly random retail trading outages experience weaker price responses. These results are concentrated in firms that are smaller and have less robust informational environments. Additionally, retail activity is associated with more timely price responses to earnings over multiple days but slower price discovery in 5-minute intervals, suggesting that the role of retail trade may differ depending on the time horizon considered. Overall, our results suggest that retail investors can improve price efficiency and do not support the characterization of retail investors as pure sources of noise in returns.",,
Ekaterina,Neretina,USC,Finance,No,"Textual analysis, machine learning","I show that lobbying generates negative externalities, which affect non-lobbying companies. When a piece of new legislation passes in Congress, non-lobbying companies in aggregate lose $1.9bn in market value. I obtain this result using a novel dataset combining comprehensive information on corporate lobbying activity with congressional activity on bills. To explain why negatively affected companies do not lobby, I identify two frictions that hinder them. First, non-lobbying companies do not represent enough voting power to support politicians in the elections. Second, trade associations, which could represent their collective interests, are captured by companies that lobby individually. I demonstrate this mechanism using unique hand-collected data on membership in the main trade associations. These findings have important policy implications: they highlight the economic mechanisms which could be targeted by policies regulating corporate lobbying.","Using a novel empirical approach, based on a new measure of bargaining power, we show that powerful underwriters drive corporate bond contracts in their favor. Our measure of underwriter power is based on the comparative ability of banks to place bonds. The key feature of our approach is that bargaining power varies for a given underwriter facing different bond issuers at a given point in time, allowing us to separate the effects of bargaining power from those of reputation and certification with a fixed effects strategy. We find that bargaining power increases both underwriter fees and bond offering yields, to an increased combined cost of USD 1.5 million, or 7% of the average costs for the issuer. We rule out a number of alternative mechanisms, notably issuer-underwriter “loyalty”. Our findings are in line with the predictions of the market dominance and agency theories.","We study the performance of dominant law firms (""stars"") in litigation brought against publicly traded corporations. We use insurance coverage as a benchmark for expected settlement amounts, to separate to what extent (a) stars reach more favorable settlements on any lawsuit (a performance or treatment effect) or (b) stars are retained in lawsuits where a favorable settlement is ex ante more likely (a selection effect). Our findings indicate the latter, and that star firms have an economically small impact on settlement amounts. This result is not explained by measurement error or over-/under-insurance. The extent to which stars are associated with improvements in corporate governance also appears limited. The stars' large market share and the high fees they earn may be justified by their ability to reduce uncertainty about the lawsuit outcome or by frictions, such as aggressive marketing and limited client sophistication and bargaining power, which limits the stars’ clients’ ability to turn to other law firms.",,
Christina,Zhu,University of Pennsylvania,Accounting,No,"Technological innovation and its role in the market for information, alternative data, the
interaction between information processing costs and firms actions","We use trade-level data to examine the role of actively managed funds (AMFs) in earnings news dissemination. We find that AMFs are drawn to, and participate disproportionately more in, earnings announcements (EAs) that include bundled managerial guidance. When the two pieces of news are directionally inconsistent, AMFs trade in the direction of future guidance rather than current earnings. AMFs exhibit an ability to discern, and adapt their trading to, the bias in bundled guidance. While AMF trades at EAs are generally more profitable than their non-EA trades, this result reverses when guidance bias is extreme. Overall, we find that increased AMF trading during EAs leads to faster price adjustment. Collectively, these findings suggest that AMFs are sophisticated processors of bundled earnings news, and their trading generally improves market price discovery.","This study tests whether disclosing a trader's identity dampens or stimulates subsequent trading volume based on the trader's reputation for being informed. While a reputation for being informed makes markets less liquid, thus inhibiting subsequent trade ("" illiquidity effect""), the information others glean from informed trade might motivate subsequent trade ("" information effect""). To study which of these countervailing forces dominates, we use a setting where mandated short-position disclosures in Europe reveal the trader's identity at the time of trade. Changes in bid-ask spreads are positively associated with several proxies for the short seller's reputation: the short seller is local, has higher returns from previous short sales, and is a hedge fund or investment adviser. Despite the positive association between reputation and illiquidity, we show that reputation motivates more subsequent trade. We also provide evidence that future price informativeness increases with trader reputation. Thus, our results support the notion that the"" information effect"" dominates the"" illiquidity effect."" Our study contributes to the literature by investigating the interaction among investor identification, adverse selection, and trade.","We show that financial reporting spurs consumer behavior. Using granular GPS data, we show that foot-traffic to firms’ commerce locations significantly increases in the days following their earnings announcements. Foot-traffic increases more for announcements with extreme earnings surprises, that correspond to firms’ fiscal year-ends, that occur outside of Fridays, and that elicit greater internet search volume, consistent with earnings announcements spurring consumer behavior by garnering attention. Consumer activity also rises with reductions in solvency risk among firms selling durable goods, consistent with consumers responding to information about firms’ longevity conveyed by their earnings. Using demographic information, we show financial reporting disproportionately affects foot-traffic in populations more likely to consume financial news. Collectively, these results suggest earnings announcements serve a marketing function by drawing attention to firms, and that a byproduct of the financial reporting process is that it shapes consumer behavior.",,
Douglas,Skinner,University of Chicago Booth School of Business,Accounting,No,"Financial Reporting, Disclosure, Technology, Sports","We describe the process through which the Securities and Exchange Commission (SEC) makes filings “publicly available.” For a sample of Form 4 (insider trade) filings, we show that, during the period we examine, the majority of filings are available to paying subscribers of the SEC's public dissemination system (PDS) feed before they are posted to the EDGAR website, and so provide subscribers and their clients with a private advantage. We show that this advantage translates into an economically significant trading advantage, and prices, volumes, and spreads respond to the news contained in filings beginning around 30 seconds before public posting. These findings indicate that the SEC dissemination process does not always provide a level playing field and that the meaning of publicly available information in capital markets is no longer simple or obvious. In response to our study, the SEC launched an investigation and agreed to eliminate the PDS timing advantage.","Shareholder activism is now an important global phenomenon. We use a sample of nearly 7,000 activist shareholder campaigns across 56 countries to address two principal research questions related to the rise of activism. First, we develop a measure of corporate governance regulation that captures the extent to which a country’s laws facilitate minority-shareholder engagement, a necessary condition for successful intervention, and show that our measure explains cross-country variation in the emergence of activism. Second, we exploit changes in these regulations to examine how an increase in the threat of activism affects corporate outcomes, both for targeted firms and for firms not explicitly targeted by activists. Our evidence suggests that regulatory changes that facilitate investor activism result in increased profitability, higher payouts, and reduced investments. These effects are concentrated in countries where the preexisting governance regulations are weaker and the pre-law-change level of activism was relatively low.","We provide new evidence on the role of management guidance in explaining earnings announcement-period returns. We show that guidance practices changed around the financial crisis in ways likely to affect the information content of guidance bundled with earnings. Managers provide guidance for a number of metrics and have moved towards annual and away from quarterly guidance, perhaps because of concerns about the managerial “myopia” some associate with quarterly EPS guidance. EPS and/or sales guidance news is incrementally informative and explains returns to about the same extent as earnings news, more so when earnings disappoint or firms report large beats. Specifications that capture the sign and consistency of signals are about as informative as those that use magnitudes. Similar to previous evidence, the response is asymmetric, with a stronger response to adverse earnings news accompanied by downgrades.",,
Yaron,Levi,USC,Finance,No,"household, behavior, behavioral, consumer, fintech, consumption, spending, savings, framing, salience, attention, self-control, reference, sentiment","In a randomized field experiment, I test if the way in which information is presented influences consumer behavior. Users of an online account aggregation app received a personalized index representing their net worth as a lifetime monthly cash flow. The presentation of the index varied in the framing used to describe the index and in the salience of the comparison between the index and the user's historical spending. Consumers that received a consumption frame (promoting a mental reflection about the affordability of future consumption) and a salient comparison with historical spending decreased their discretionary spending by 15% relative to other treatments throughout the eight months of the experiment. The effect persisted for an additional eight months after the removal of the experiment content from the app. The sensitivity of consumers' spending to information design presents opportunities for policies aimed at influencing saving rates.","In a randomized field experiment, I show that information architecture significantly affects individuals' spending and savings behavior. I present users of a large online account aggregation provider with a personalized financial index. This index represents the inflation-protected, lifetime monthly cash flow that they can obtain, given their personal financial and demographic information and current market prices. Users receiving this information tool reduce their spending by 10.7% relative to a control group. This effect is sensitive to the description of the index using a consumption frame rather than an investment frame and to the presentation of an explicit comparison between the index and historical spending levels. Further, spending reductions are primarily in large, infrequent transactions. This experiment is the first to directly affect overall spending behavior and to demonstrate the importance of information architecture in that context. It demonstrates the potential of low cost digital information tools to impact financial behavior on a large scale.","Using high-frequency spending data, we show that household consumption displays excess sensitivity to salient macro-economic news, even when the news is not real. When the announced local unemployment rate reaches a 12-month maximum, local news coverage of unemployment increases and local consumers reduce their discretionary spending by 2% relative to consumers in areas with the same macro-economic fundamentals. The consumption of low-income households displays greater excess sensitivity to salience. The decrease in spending is not reversed in subsequent months; instead, negative news persistently reduces future spending for two to four months. Households in treated areas act as if they are more financially constrained than those in untreated areas with the same fundamentals.",,
Matteo,Benetton,Berkeley Haas,Finance,No,"IO, Finance, Crypto, ETF","Cryptomining, the clearing of cryptocurrency transactions, uses large quantities of electricity. We document that cryptominers' use of local electricity implies higher prices for existing small businesses and households. Studying the electricity market in Upstate NY and using the Bitcoin price as an exogenous shifter of the supply curve faced by the community, we estimate that small businesses and households have a negative elasticity to the instrumented price of electricity, with elasticities of-0.17 and-0.07 respectively. Using our estimations, we calculate counterfactual electricity bills, finding that small businesses and households paid $79 million and $165 million extra annually in Upstate NY (or $1 B nationally) because of cryptomining demand-for-electricity effects. Using data on China, where prices are fixed, we find that rationing of electricity in cities with cryptomining entrants deteriorate wages and investments, consistent with an electricity crowding out of the local economy. Local governments in both Upstate NY and China, however, realize more business taxes, but only offsetting a small portion of the higher community electricity bill costs. Our results point to a yet-unstudied negative spillover from technology processing to local communities, which would need to be considered against welfare benefits.","We explore the impact of investors’ beliefs on cryptocurrency demand and prices using three new individual-level surveys. We find that younger individuals with lower income and education are more optimistic about the future value of cryptocurrencies, as are late investors. We then estimate the cryptocurrency demand functions using a structural model with rich heterogeneity in investors’ beliefs and preferences. To identify the model, we combine observable beliefs with an instrumental variable strategy that exploits variation in the amount of energy required for the production of the different cryptocurrencies. We find that beliefs explain a large fraction of the cross-sectional variance of returns. A counterfactual exercise shows that banning entry of late investors leads to a decrease in the price of Bitcoin by about $3,500, or approximately 30% of the price during the boom in January 2018. Late investors’ optimism alone can explain about a third of the decline.","Cryptomining gives rise to negative externalities through consumption of scarce electricity. Thus why do local governments pursue cryptominers and what are the broader effects of cryptomining on the local economy? Our testimonial evidence supports cryptomining as a source of tax revenues and purported local economy spillovers. Using a novel panel dataset for counties in China and New York State, we take these claims to the data. In Chinese cities, we find that cryptomining substantially increases business tax revenues relative to GDP, thus providing a strong incentive for local governments to attract this type of operations. However, we also find a negative impact on local wages and value added taxes (as a fraction of GDP). In New York State, we find that cryptomining results in substantially higher electricity prices for businesses and commercial operations. These findings suggest that cryptomining leads to crowdingout of other economic activities and point to possibly unintended consequences that local governments should factor in their decisions.",,
Carmen,Payne Mann,USC,Accounting,Yes,"Social media, retail investors, ESG",,,,yes,
Rodney,Ramcharan,USC,Finance,No,intermediation; household finance,"We study the impact of the European Central Bank’s largest quantitative easing (QE) program on lending by Italian banks. We find that historical cost accounting (HCA) in capital regulation significantly mutes the impact of QE on bank lending and creates bank-level heterogeneity in the transmission of QE. This heterogeneity in turn allows some banks to increase lending at the expense of their competitors, reducing the impact of QE on overall bank lending. These results suggest that while HCA can insulate banks’ balance sheets during periods of distress, it also limits the effectiveness of central bank policies aimed at increasing lending.","This paper investigates the importance of status in household consumption and credit decisions using data from the Survey of Consumer Finances linked to tract-level data in the American Community Survey. We find that relatively richer households in the census tract use more debt and spend more on high-status cars. Also, county-level evidence shows that the consumption of high-status cars is higher in more unequal counties. These results suggest that greater income heterogeneity might shape household consumption and credit decisions, as relatively richer households signal their higher status to their neighbors through the consumption of visible status goods.","This paper finds that banks and nonbanks respond differently to increased competition in consumer credit markets. Increased competition and a greater threat of failure induces banks to specialize in relationship business lending, and surviving banks are more profitable. However, nonbanks change their credit policy when faced with more competition and expand credit to riskier borrowers at the extensive margin, resulting in higher default rates. These results show how the effects of competition depend on the form of intermediation. They also suggest that increased competition can cause credit risk to migrate outside the traditional supervisory umbrella.",,
Will,Cong,Cornell University,Finance,No,"FinTech, Digital Economy, AI, Big Data, Entrepreneurship.","The phenomenal rise of cryptocurrencies and decentralized finance have prominently featured``staking'': Besides offering a convenience yield for transactions as digital media of exchange, tokens are frequently staked (and slashed) for base-layer consensus generation or for incentivizing economic activities and platform development, and consequently earn rewards akin to deposit interests. To provide insights into the economics of staking and its asset pricing implications, we build a continuous-time model of a token-based economy agents heterogeneous in wealth stake tokens to earn rewards or use tokens for transactional convenience, all while dynamically solving their wealth allocation and consumption problem. We cast the model as a mean field game with individual stochastic controls and highlight aggregate staking ratio as a key variable linking staking to token pricing and equilibrium reward rate. The model uses transaction convenience to rationalize violations of the uncovered interest rate parity and significant carry premia in the data (eg, a long-short carry yields a Sharpe ratio of 1.6). We relate cryptocurrencies to other major asset classes such as currencies and commodities and empirically corroborate model implications. In particular, staking ratios capture liquidity and market depth, and its correlation with reward rates is positive in the cross section but negative in the time series. Higher reward rates attract greater future staking, increasing individual's staking allocation and the staking ratio in aggregate, which in turn predicts positive excess returns.","Despite the explosive growth of cryptocurrencies, whether the underlying technology adds significant value and will thus sustain broad adoption remains unclear. Using proprietary data on firm-level blockchain records from 2015 to 2021, we conduct the first large-sample study linking blockchains to firm fundamentals and asset valuation in a country where cryptocurrencies are completely banned. We find that year-over-year quarterly blockchain data growth (BDG) contains value-relevant information for nowcasting and forecasting assets growth, sales growth, ROA, standardized unexpected earnings (SUE), and innovation outcomes measured through patents. BDG also predicts stock returns, especially around future earnings announcements, with a long-short BDG-sorted portfolio generating a 10.56% risk-adjusted return annually. The findings are robust across industries and regions, superior compared to other nowcasters, and hold in international samples. We further discuss the underlying economic channels (eg, continuous disclosure and reduction in information asymmetry) and propose strategies for identifying the blockchain impact. We find results consistent with the aforementioned channels, actual use cases, and heterogeneity analyses that reveal firms with greater information asymmetry, lower disclosure quality, more industry competition, and less public trust benefit more from blockchain adoption and on-chain data growth.","We document characteristics-based return anomalies in a large cross-section of crypto assets. Cryptocurrency returns exhibit momentum in the largest-cap group, reversals in other size groups, and strong crypto value and network adoption premia, from which we derive two novel factors to add to the cryptocurrency version of market, size, and momentum factors. The resulting C-5 model outperforms extant models in pricing the cross-section of crypto assets. We also provide the first comprehensive classification of all major cryptocurrencies based on their economic functionality. We then adopt methodologies from international finance to demonstrate significant market segmentation across token categories, underscoring the importance for considering token categories in investment and regulatory policymaking.",,
Juhani,Linnainmaa,Dartmouth College,Finance,No,Empirical asset pricing; mutual funds; hedge funds; behavioral finance,"Residual momentum strategies earn significant alphas. The common interpretation for this result-that momentum resides in firm-specific returns-is unwarranted: even in the absence of firm-specific momentum, a strategy sorted on residuals is profitable because it is also a bet against betas. A UMD-like factor that removes these bets to capture true firm-specific momentum earns an alpha of 63 basis points per month (t-value= 9.20). Firm-specific momentum strategies, unlike residual momentum strategies, are almost uncorrelated across regions. Our results indicate that there was a strong firm-specific momentum effect in stock returns until 2002, after which it has been almost fully arbitraged away.","Long-term expected returns do not appear to vary in the cross section of stocks. We show that even negligible persistent differences in expected returns, if they existed, would be easy to detect. Markers of such differences, however, are absent from actual stock returns. Our results are consistent with behavioral models and production-based asset pricing models in which firms’ risks change over time. Consistent with the lack of long-term differences in expected returns, persistent differences in firm characteristics do not predict the cross section of stock returns. Our results imply that stock market anomalies have only a limited effect on firm valuations.","By choosing investment strategies that intentionally create exposure to factor betas, investors may be obtaining uncompensated risks. The authors show, across a wide variety of factors and geographical markets, that factors constructed from fundamental characteristics have earned high returns, whereas those constructed from statistical betas have earned returns close to zero. When designing factor-based investment strategies, investors should seek exposure to the fundamental characteristics that define a factor and use statistical measures of factor betas to manage factor risks. Conversely, seeking to gain exposure to factor betas is a misguided means of obtaining the returns available from factor investing.",,
Annie,Wang,"University of California, Irvine",Accounting,Yes,social media and investors,"ASU 2016-09 Improvement to Employee Share-Based Payment Accounting significantly alters the financial reporting for stock-based compensation by requiring the recognition of excess tax benefits and tax deficiencies in net income, whereas the prior accounting regime required only balance sheet recognition (in most instances). Our paper examines whether earnings become less informative after ASU 2016-09. Using a difference-indifferences design, we find a reduction in earnings informativeness after ASU 2016-09. In cross-sectional tests, we find that the reduction in earnings informativeness is greater for firms that are more impacted by the ASU: in particular, (i) firms that more extensively use stock-based compensation and (ii) firms with more volatile stock prices. The documented effects are economically meaningful, with an average post-ASU reduction of 21.7% in the earnings response coefficient for firms impacted by ASU 2016-09. Our results are important to understanding the unintended consequences of the FASB's Simplification Initiative.",,,,
Zahn,Bozanic,Florida State University,Accounting,No,"Corporate disclosure, debt contracting, information intermediaries, regulation","Critics have alleged that securitization accounting prior to 2010 was among the causes of the recent financial crisis. In response to this criticism, the Financial Accounting Standards Board (FASB) implemented two new accounting standards, SFAS 166 and SFAS 167, to improve the financial reporting for securitizations. Bank regulators have stated their belief that SFAS 166/167 will result in a consolidated balance sheet (and risk-based capital ratios based thereupon) that better reflects a bank's exposure to risk related to securitized assets. We document that, by ceding retained power or influence through the servicing/special servicing functions to third parties, SFAS 166/167 resulted in real effects to the extent that banks (particularly those that were weakly capitalized) achieved their accounting objectives in the post-SFAS 166/167 period through legitimate transaction structuring in line with the intent of the new rules. Further, we use capital market participants’ assessments of risk retention by sponsoring banks as a benchmark, and provide evidence consistent with bank regulators’ beliefs. In particular, following SFAS 166/167, equity investors of sponsoring banks do not consider (consider) as risk relevant securitized assets that receive off-balance sheet (on-balance sheet) treatment. Securitized assets that are consolidated under SFAS 166/167 exhibit the same risk relevance as assets that are not securitized, despite contractual provisions that would seem to imply substantial risk transfer.","Drawing on financial reporting, institutional, and social psychology theories, we consider whether awareness of SEC scrutiny affects the extent to which managers exercise financial reporting discretion. Because there is a higher probability that the SEC will detect misconduct and impose penalties on firms under investigation, we predict that managers will change their behavior during periods of increased scrutiny. We test our predictions using novel data on all Division of Enforcement (DoE) investigations completed during the 2000-2016 period. The evidence we present offers three insights. First, our results suggest that managers perceive the SEC will be more concerned, and potentially more punitive, with firms that employ discretion through accruals rather than real activities. Second, the actions taken by managers appear to reflect improvements in accounting misstatement risk, reductions in accounting irregularities, and increases in conservatism. Third, firms investigated by the SEC, but not ultimately subject to an enforcement action, exhibit decreased R&D and capital expenditures and increased likelihoods of CEO turnover, comment letter receipt, earnings restatements, and class-action lawsuits. The implications of our study should be of interest to academics, investors, and regulators in understanding how heightened regulatory monitoring over financial reporting can affect both accounting practices and operating decisions.","Financial reporting fraud and other forms of financial reporting misconduct are a significant threat to the existence and efficiency of capital markets. This study reviews the literature on financial reporting misconduct from the perspectives of law, accounting, and finance. Our goals are to establish a common language for researchers interested in this line of research, describe the main findings and challenges in these literatures, and provide directions for future research. Although research on financial reporting misconduct faces challenges, those challenges provide significant opportunities to advance the literature, as the answers to many questions on financial reporting misconduct remain unsettled.",,
